time,X_d,X,Y_d,Y,Z_d,Z,Yaw_d,Yaw
28.45,0.000000,0.004747,0.000000,0.000484,3.000000,2.168038,0.000000,0.000004
28.50,0.000000,0.007922,0.000000,0.000460,3.000000,2.166226,0.000000,0.002453
28.55,0.000000,0.009256,0.000000,0.001059,3.000000,2.181633,0.000000,0.000771
28.60,0.000000,0.003482,0.000000,0.007380,3.000000,2.198652,0.000000,0.000389
28.65,0.000000,-0.001945,0.000000,0.004409,3.000000,2.170871,0.000000,0.002703
28.70,0.000000,0.000373,0.000000,0.004039,3.000000,2.201272,0.000000,0.002698
28.75,0.000000,0.001240,0.000000,0.014916,3.000000,2.205610,0.000000,0.002723
28.80,0.000000,0.000897,0.000000,0.002996,3.000000,2.239684,0.000000,0.000277
28.85,0.000000,0.006707,0.000000,-0.001349,3.000000,2.219220,0.000000,0.000211
28.90,0.000000,0.003486,0.000000,0.003173,3.000000,2.217341,0.000000,0.002857
28.95,0.000000,0.002406,0.000000,0.004431,3.000000,2.208882,0.000000,0.001424
29.00,0.000000,0.004770,0.000000,0.001981,3.000000,2.217292,0.000000,0.001039
29.05,0.000000,0.006444,0.000000,-0.000472,3.000000,2.226674,0.000000,0.002503
29.10,0.000000,-0.002190,0.000000,-0.003141,3.000000,2.216926,0.000000,-0.000084
29.15,0.000000,0.004333,0.000000,0.003609,3.000000,2.265415,0.000000,0.000853
29.20,0.000000,0.000853,0.000000,0.002136,3.000000,2.260323,0.000000,0.002379
29.25,0.000000,0.002861,0.000000,0.001201,3.000000,2.276479,0.000000,0.001460
29.30,0.000000,0.007507,0.000000,0.002909,3.000000,2.240478,0.000000,-0.000021
29.35,0.000000,0.004632,0.000000,0.000039,3.000000,2.250302,0.000000,0.002108
29.41,0.000000,-0.002287,0.000000,0.003589,3.000000,2.258856,0.000000,0.000352
29.46,0.000000,0.002454,0.000000,0.004507,3.000000,2.290574,0.000000,0.003470
29.51,0.000000,0.005142,0.000000,0.002054,3.000000,2.267870,0.000000,0.006495
29.56,0.000000,0.006923,0.000000,0.004705,3.000000,2.256055,0.000000,0.000690
29.61,0.000000,0.004375,0.000000,0.002613,3.000000,2.272685,0.000000,0.003666
29.66,0.000000,-0.000797,0.000000,0.002753,3.000000,2.303942,0.000000,0.001150
29.71,0.000000,-0.001690,0.000000,0.011275,3.000000,2.300284,0.000000,0.002789
29.76,0.000000,0.005475,0.000000,0.006097,3.000000,2.303848,0.000000,0.000646
29.81,0.000000,0.001643,0.000000,0.004820,3.000000,2.285624,0.000000,0.000151
29.86,0.000000,0.003745,0.000000,-0.008733,3.000000,2.283378,0.000000,0.000653
29.91,0.000000,-0.001329,0.000000,0.003777,3.000000,2.343974,0.000000,0.003043
29.96,0.000000,0.001545,0.000000,0.006026,3.000000,2.295695,0.000000,0.003831
30.01,0.000000,0.004308,0.000000,0.009121,3.000000,2.332188,0.000000,0.000960
30.06,0.000000,0.004317,0.000000,0.006907,3.000000,2.313130,0.000000,0.001570
30.11,0.000000,0.006810,0.000000,0.015627,3.000000,2.331089,0.000000,0.001703
30.16,0.000000,0.001609,0.000000,0.002762,3.000000,2.324151,0.000000,-0.000678
30.21,0.000000,-0.001263,0.000000,0.004122,3.000000,2.321836,0.000000,0.001028
30.26,0.000000,-0.000406,0.000000,0.005272,3.000000,2.335849,0.000000,0.000967
30.31,0.000000,0.006814,0.000000,-0.000541,3.000000,2.328913,0.000000,-0.001927
30.36,0.000000,0.005169,0.000000,0.007199,3.000000,2.337132,0.000000,0.000300
30.41,0.000000,0.002690,0.000000,0.006692,3.000000,2.332176,0.000000,0.000862
30.46,0.000000,-0.002632,0.000000,0.007871,3.000000,2.344019,0.000000,0.001149
30.51,0.000000,-0.000626,0.000000,0.007144,3.000000,2.348970,0.000000,0.000496
30.56,0.000000,0.001612,0.000000,-0.002068,3.000000,2.344703,0.000000,0.000155
30.61,0.000000,0.004034,0.000000,0.007019,3.000000,2.350831,0.000000,-0.001382
30.66,0.000000,0.000746,0.000000,0.000603,3.000000,2.353168,0.000000,0.001751
30.71,0.000000,0.000581,0.000000,0.004696,3.000000,2.372325,0.000000,0.000801
30.76,0.000000,0.007465,0.000000,-0.003712,3.000000,2.376460,0.000000,-0.000549
30.81,0.000000,0.001897,0.000000,0.007813,3.000000,2.371556,0.000000,0.001540
30.86,0.000000,0.007607,0.000000,0.012447,3.000000,2.410699,0.000000,-0.000492
30.91,0.000000,0.004661,0.000000,0.001762,3.000000,2.387458,0.000000,-0.000564
30.96,0.000000,0.001924,0.000000,-0.000315,3.000000,2.393872,0.000000,0.001970
31.01,0.000000,0.004295,0.000000,0.004663,3.000000,2.392755,0.000000,0.001926
31.06,0.000000,0.000375,0.000000,0.005352,3.000000,2.390946,0.000000,0.001462
31.11,0.000000,0.000842,0.000000,0.004775,3.000000,2.412427,0.000000,0.000607
31.16,0.000000,0.000013,0.000000,0.004310,3.000000,2.406008,0.000000,-0.001760
31.21,0.000000,0.003759,0.000000,-0.001083,3.000000,2.407258,0.000000,0.002318
31.26,0.000000,0.010440,0.000000,0.012224,3.000000,2.420308,0.000000,0.001386
31.31,0.000000,0.000334,0.000000,0.010128,3.000000,2.420322,0.000000,0.001509
31.36,0.000000,0.011549,0.000000,0.037292,3.000000,2.495303,0.000000,0.000970
31.41,0.000000,0.004965,0.000000,0.034877,3.000000,2.504444,0.000000,-0.001611
31.46,0.000000,-0.003138,0.000000,0.004742,3.000000,2.452166,0.000000,-0.000195
31.51,0.000000,-0.006295,0.000000,0.010779,3.000000,2.443221,0.000000,-0.000942
31.56,0.000000,-0.014678,0.000000,0.008762,3.000000,2.453477,0.000000,0.002261
31.61,0.000000,-0.018534,0.000000,0.018053,3.000000,2.473550,0.000000,0.000095
31.66,0.000000,-0.006722,0.000000,0.012140,3.000000,2.478592,0.000000,0.000305
31.71,0.000000,-0.004234,0.000000,0.015106,3.000000,2.469597,0.000000,0.001842
31.76,0.000000,-0.004483,0.000000,0.013801,3.000000,2.485095,0.000000,0.000029
31.81,0.000000,-0.004938,0.000000,0.007585,3.000000,2.470665,0.000000,0.000811
31.86,0.000000,0.001589,0.000000,0.040958,3.000000,2.517078,0.000000,0.002029
31.91,0.000000,-0.010910,0.000000,0.017834,3.000000,2.486955,0.000000,0.000354
31.96,0.000000,-0.006465,0.000000,0.011453,3.000000,2.514557,0.000000,-0.000687
32.01,0.000000,-0.009666,0.000000,0.016346,3.000000,2.517321,0.000000,0.000200
32.06,0.000000,-0.007232,0.000000,0.013652,3.000000,2.499728,0.000000,0.001400
32.11,0.000000,-0.007945,0.000000,0.013187,3.000000,2.503752,0.000000,0.000222
32.16,0.000000,-0.005951,0.000000,0.007652,3.000000,2.510465,0.000000,-0.001227
32.21,0.000000,-0.006014,0.000000,0.011354,3.000000,2.534880,0.000000,0.003583
32.26,0.000000,-0.004961,0.000000,0.016745,3.000000,2.522777,0.000000,0.001725
32.31,0.000000,-0.004057,0.000000,0.013768,3.000000,2.529617,0.000000,0.000071
32.37,0.000000,-0.004758,0.000000,0.011897,3.000000,2.527916,0.000000,0.000597
32.42,0.000000,-0.008292,0.000000,0.011377,3.000000,2.525928,0.000000,0.000208
32.47,0.000000,-0.004067,0.000000,0.016212,3.000000,2.536879,0.000000,0.000346
32.52,0.000000,-0.001754,0.000000,0.014956,3.000000,2.585094,0.000000,-0.000764
32.57,0.000000,-0.005254,0.000000,0.006043,3.000000,2.606157,0.000000,0.001994
32.62,0.000000,-0.004424,0.000000,0.004697,3.000000,2.547597,0.000000,0.002200
32.67,0.000000,-0.005946,0.000000,0.007971,3.000000,2.567541,0.000000,0.001481
32.72,0.000000,-0.005200,0.000000,0.015958,3.000000,2.557894,0.000000,-0.001052
32.77,0.000000,-0.010575,0.000000,0.018677,3.000000,2.580643,0.000000,0.000375
32.82,0.000000,-0.005889,0.000000,0.012810,3.000000,2.562266,0.000000,0.000322
32.87,0.000000,-0.011942,0.000000,0.005528,3.000000,2.598642,0.000000,0.001956
32.92,0.000000,-0.010665,0.000000,0.014282,3.000000,2.589941,0.000000,0.002527
32.97,0.000000,-0.010167,0.000000,0.006605,3.000000,2.588015,0.000000,0.002007
33.02,0.000000,-0.010894,0.000000,0.013062,3.000000,2.584821,0.000000,0.001479
33.07,0.000000,-0.004525,0.000000,0.007698,3.000000,2.651194,0.000000,-0.000440
33.12,0.000000,-0.009273,0.000000,0.005416,3.000000,2.668237,0.000000,0.000922
33.17,0.000000,-0.010690,0.000000,0.011977,3.000000,2.600054,0.000000,-0.000212
33.22,0.000000,-0.009265,0.000000,0.011138,3.000000,2.632501,0.000000,-0.000383
33.27,0.000000,-0.007188,0.000000,0.010204,3.000000,2.617390,0.000000,0.001041
33.32,0.000000,-0.000452,0.000000,0.010449,3.000000,2.643922,0.000000,0.000643
33.37,0.000000,-0.005636,0.000000,0.008405,3.000000,2.661286,0.000000,-0.001140
33.42,0.000000,-0.008737,0.000000,0.008521,3.000000,2.623300,0.000000,0.000861
33.47,0.000000,-0.007157,0.000000,0.008520,3.000000,2.638800,0.000000,0.000814
33.52,0.000000,-0.004166,0.000000,0.012121,3.000000,2.635218,0.000000,0.001743
33.57,0.000000,-0.014112,0.000000,0.006748,3.000000,2.638618,0.000000,0.000477
33.62,0.000000,-0.006127,0.000000,0.010985,3.000000,2.668858,0.000000,0.001897
33.67,0.000000,-0.005391,0.000000,0.021435,3.000000,2.684441,0.000000,-0.000496
33.72,0.000000,-0.003703,0.000000,0.007819,3.000000,2.648738,0.000000,0.000631
33.77,0.000000,-0.002087,0.000000,0.021099,3.000000,2.709180,0.000000,0.000737
33.82,0.000000,-0.003993,0.000000,0.011303,3.000000,2.668014,0.000000,0.002215
33.87,0.000000,-0.006626,0.000000,0.013654,3.000000,2.651429,0.000000,0.000371
33.92,0.000000,-0.009534,0.000000,0.010753,3.000000,2.668713,0.000000,-0.001247
33.97,0.000000,-0.009401,0.000000,0.012603,3.000000,2.652990,0.000000,-0.000470
34.02,0.000000,-0.008225,0.000000,0.006816,3.000000,2.691855,0.000000,0.000624
34.07,0.000000,-0.008006,0.000000,0.007763,3.000000,2.678923,0.000000,0.001737
34.12,0.000000,-0.010088,0.000000,0.012871,3.000000,2.736657,0.000000,0.000471
34.17,0.000000,-0.006708,0.000000,0.013087,3.000000,2.731365,0.000000,0.002165
34.22,0.000000,-0.002547,0.000000,0.023164,3.000000,2.785112,0.000000,0.000856
34.32,0.000000,-0.001296,0.000000,0.008917,3.000000,2.715749,1.000000,0.000083
34.37,0.000000,-0.004273,0.000000,0.007486,3.000000,2.736651,1.000000,0.001594
34.42,0.000000,-0.008901,0.000000,0.014472,3.000000,2.687093,1.000000,0.003332
34.47,0.000000,-0.002303,0.000000,0.008516,3.000000,2.714337,1.000000,0.002121
34.52,0.000000,-0.007166,0.000000,0.008277,3.000000,2.734301,1.000000,0.006337
34.57,0.000000,0.002244,0.000000,0.006102,3.000000,2.769453,1.000000,0.004602
34.62,0.000000,-0.009033,0.000000,0.012762,3.000000,2.730915,1.000000,0.012261
34.67,0.000000,-0.000552,0.000000,0.004705,3.000000,2.780928,1.000000,0.014582
34.72,0.000000,0.004976,0.000000,0.008009,3.000000,2.772175,1.000000,0.017563
34.77,0.000000,-0.003708,0.000000,0.013360,3.000000,2.787574,1.000000,0.021946
34.82,0.000000,-0.003185,0.000000,0.012099,3.000000,2.778096,1.000000,0.024183
34.87,0.000000,-0.006436,0.000000,0.013589,3.000000,2.771005,1.000000,0.029451
34.92,0.000000,-0.003055,0.000000,0.011276,3.000000,2.757704,1.000000,0.031499
34.97,0.000000,-0.003083,0.000000,0.014579,3.000000,2.775023,1.000000,0.040119
35.02,0.000000,-0.004696,0.000000,0.007339,3.000000,2.761896,1.000000,0.044834
35.07,0.000000,0.002272,0.000000,0.008886,3.000000,2.781687,1.000000,0.048988
35.12,0.000000,-0.003853,0.000000,0.016081,3.000000,2.814112,1.000000,0.053283
35.17,0.000000,-0.007321,0.000000,0.010783,3.000000,2.787064,1.000000,0.057663
35.22,0.000000,-0.004746,0.000000,0.008775,3.000000,2.800627,1.000000,0.064889
35.28,0.000000,-0.000626,0.000000,0.009968,3.000000,2.813621,1.000000,0.072113
35.33,0.000000,0.004069,0.000000,0.011680,3.000000,2.808577,1.000000,0.075698
35.38,0.000000,-0.007718,0.000000,0.009940,3.000000,2.851746,1.000000,0.083558
35.43,0.000000,-0.010159,0.000000,0.005608,3.000000,2.818285,1.000000,0.085022
35.48,0.000000,-0.007158,0.000000,0.019720,3.000000,2.795080,1.000000,0.089856
35.53,0.000000,-0.010080,0.000000,0.010134,3.000000,2.843223,1.000000,0.100351
35.58,0.000000,-0.009228,0.000000,0.015980,3.000000,2.836686,1.000000,0.106120
35.63,0.000000,-0.009696,0.000000,0.015518,3.000000,2.844582,1.000000,0.111979
35.68,0.000000,-0.011439,0.000000,0.013913,3.000000,2.832682,1.000000,0.117402
35.73,0.000000,0.007851,0.000000,0.011070,3.000000,2.844144,1.000000,0.122893
35.78,0.000000,-0.003925,0.000000,0.020126,3.000000,2.837043,1.000000,0.131701
35.83,0.000000,-0.008124,0.000000,0.015659,3.000000,2.831600,1.000000,0.137214
